title,link,published_date,author,summary,categories,guid,media_url
Sandoz signs landmark supply and manufacturing agreement,https://www.globenewswire.com/news-release/2025/03/18/3044718/0/en/Sandoz-signs-landmark-supply-and-manufacturing-agreement.html,2025-03-18 14:38:00,,"BOUCHERVILLE, Quebec, March  18, 2025  (GLOBE NEWSWIRE) -- Sandoz Canada, the leader in generic and biosimilar medicines in Canada, has signed a 10-year, long-term supply agreement with its partner Delpharm, a global pharmaceutical developer and contract manufacturer. This partnership, along with financial backing from the Government of Canada, will allow Delpharm to carry out its modernization plan for its Boucherville plant.",Product / Services Announcement,https://www.globenewswire.com/news-release/2025/03/18/3044718/0/en/Sandoz-signs-landmark-supply-and-manufacturing-agreement.html,https://ml.globenewswire.com/Resource/Download/46860583-a539-4025-a530-29a72250b652
Sandoz conclut une entente d’approvisionnement et de fabrication majeure,https://www.globenewswire.com/news-release/2025/03/18/3044718/0/fr/Sandoz-conclut-une-entente-d-approvisionnement-et-de-fabrication-majeure.html,2025-03-18 14:38:00,,"BOUCHERVILLE, Qu&#233;bec,  18 mars 2025  (GLOBE NEWSWIRE) -- Sandoz Canada, la référence dans le domaine des médicaments génériques et biosimilaires au Canada, a conclu une entente d’approvisionnement à long terme de 10 ans avec son partenaire Delpharm, un sous-traitant mondial en développement et fabrication de produits pharmaceutiques. Ce partenariat, en plus du soutien financier du Gouvernement du Canada, permettra à Delpharm de mettre en œuvre son plan de modernisation pour son usine de Boucherville.",Product / Services Announcement,https://www.globenewswire.com/news-release/2025/03/18/3044718/0/fr/Sandoz-conclut-une-entente-d-approvisionnement-et-de-fabrication-majeure.html,https://ml.globenewswire.com/Resource/Download/46860583-a539-4025-a530-29a72250b652
Sandoz Canada achieves carbon neutral certification for its commercial operations,https://www.globenewswire.com/news-release/2024/10/07/2958863/0/en/Sandoz-Canada-achieves-carbon-neutral-certification-for-its-commercial-operations.html,2024-10-07 12:00:00,,"BOUCHERVILLE, Quebec, Oct.  07, 2024  (GLOBE NEWSWIRE) -- Sandoz Canada obtained carbon neutral certification from the engineering consulting firm LCL Engineering, Environment &amp; Sustainable Development for its Boucherville head office and business travel activities. This certification attests to the company’s commitment to being an environmentally conscious leader in the generics and biosimilars market by striving to keep people and the planet healthy. In addition to obtaining the certification, Sandoz Canada recently took part in the Mission 1000 tonnes initiative for the second year in a row and switched to eco-friendly Forest Stewardship Council (FSC)–certified packaging for its injectable medicines. Carbon neutral certificationTo better understand the environmental impact of its domestic activities, Sandoz Canada teamed up with LCL Engineering, Environment &amp; Sustainable Development. This Quebec-based environmental consulting firm made a comprehensive inventory of the company’s CO2 emissions using a rigorous process based on the ISO 14064-1 standard. The calculation included a wide range of sources, such as head office electricity consumption, refrigerant purchases, company car mileage and travel ticket purchases. Emissions linked to the manufacturing and transportation of medicines were not taken into account.",Product / Services Announcement,https://www.globenewswire.com/news-release/2024/10/07/2958863/0/en/Sandoz-Canada-achieves-carbon-neutral-certification-for-its-commercial-operations.html,https://ml.globenewswire.com/Resource/Download/b6596e37-eb82-49f4-a03b-47840f6e37d1
Sandoz Canada obtient une certification de carboneutralité pour ses activités commerciales,https://www.globenewswire.com/news-release/2024/10/07/2958863/0/fr/Sandoz-Canada-obtient-une-certification-de-carboneutralit%C3%A9-pour-ses-activit%C3%A9s-commerciales.html,2024-10-07 12:00:00,,"BOUCHERVILLE, Qu&#233;bec,  07 oct. 2024  (GLOBE NEWSWIRE) -- Sandoz Canada a obtenu une certification de carboneutralité décernée par la firme-conseil LCL Génie, environnement &amp; développement durable pour les activités de son siège social de Boucherville et ses déplacements d’affaires. Cette reconnaissance témoigne de son engagement à être un leader écoresponsable dans le domaine des médicaments génériques et biosimilaires en œuvrant pour la santé des gens et celle de notre planète. Parallèlement à l’obtention de cette certification, Sandoz Canada a récemment participé à la Mission 1000 tonnes pour une deuxième année consécutive et a adopté des emballages écoresponsables certifiés FSC (Forest Stewardship Council) pour ses médicaments injectables. Certification de carboneutralitéPour mieux comprendre l’incidence environnementale de ses activités nationales, Sandoz Canada a fait équipe avec LCL Génie, environnement &amp; développement durable. Cette firme québécoise d’experts-conseils en solutions environnementales a réalisé un inventaire approfondi des émissions de CO2 de l’entreprise, suivant un processus rigoureux fondé sur la norme ISO-14064-1. Le calcul tenait compte d’un éventail de sources, de la consommation d’électricité du siège social aux achats de liquides réfrigérants, en passant par le kilométrage des véhicules de fonction et les achats de billets de transport. Il est à noter que cette démarche ne tenait pas compte de la fabrication et du transport des médicaments.",Product / Services Announcement,https://www.globenewswire.com/news-release/2024/10/07/2958863/0/fr/Sandoz-Canada-obtient-une-certification-de-carboneutralit%C3%A9-pour-ses-activit%C3%A9s-commerciales.html,https://ml.globenewswire.com/Resource/Download/b6596e37-eb82-49f4-a03b-47840f6e37d1
"Introducing Jubbonti® and Wyost®, the first denosumab biosimilars on the Canadian market",https://www.globenewswire.com/news-release/2024/08/12/2928459/0/en/Introducing-Jubbonti-and-Wyost-the-first-denosumab-biosimilars-on-the-Canadian-market.html,2024-08-12 13:00:00,,"— Jubbonti® and Wyost® are first denosumab biosimilars available in Canada, reflecting the Sandoz Purpose of pioneering access for patients",Product / Services Announcement,https://www.globenewswire.com/news-release/2024/08/12/2928459/0/en/Introducing-Jubbonti-and-Wyost-the-first-denosumab-biosimilars-on-the-Canadian-market.html,https://ml.globenewswire.com/Resource/Download/1389ce09-477d-4da8-b87a-03404d01fde6
"Jubbonti® et Wyost®, premiers biosimilaires du denosumab disponibles sur le marché canadien",https://www.globenewswire.com/news-release/2024/08/12/2928459/0/fr/Jubbonti-et-Wyost-premiers-biosimilaires-du-denosumab-disponibles-sur-le-march%C3%A9-canadien.html,2024-08-12 13:00:00,,"— Jubbonti® et Wyost® sont les premiers biosimilaires du denosumab offerts au Canada, reflétant la mission de Sandoz, qui est d’être pionnière de l’accès pour les patients.",Product / Services Announcement,https://www.globenewswire.com/news-release/2024/08/12/2928459/0/fr/Jubbonti-et-Wyost-premiers-biosimilaires-du-denosumab-disponibles-sur-le-march%C3%A9-canadien.html,https://ml.globenewswire.com/Resource/Download/1389ce09-477d-4da8-b87a-03404d01fde6
Milestone Partners Completes Sale of Blaschak Anthracite to Saint Nicholas Investor Group,https://www.globenewswire.com/news-release/2024/07/25/2919134/0/en/Milestone-Partners-Completes-Sale-of-Blaschak-Anthracite-to-Saint-Nicholas-Investor-Group.html,2024-07-25 17:49:00,,"MAHANOY CITY, Pa., July  25, 2024  (GLOBE NEWSWIRE) -- Blaschak Anthracite, a leading miner, preparer and marketer of Pennsylvania anthracite, announced that the company’s owners, led by majority shareholder Milestone Partners, completed the sale of Blaschak in a management-led buyout to Saint Nicholas Investor Group, LLC on July 19.",Mergers and Acquisitions,https://www.globenewswire.com/news-release/2024/07/25/2919134/0/en/Milestone-Partners-Completes-Sale-of-Blaschak-Anthracite-to-Saint-Nicholas-Investor-Group.html,
Improving access for patients: launch of Lisdexamfetamine further broadens Sandoz Canada portfolio,https://www.globenewswire.com/news-release/2024/06/05/2893803/0/en/Improving-access-for-patients-launch-of-Lisdexamfetamine-further-broadens-Sandoz-Canada-portfolio.html,2024-06-05 12:00:00,,"BOUCHERVILLE, Quebec, June  05, 2024  (GLOBE NEWSWIRE) -- Sandoz Canada announced today the launch of PrSandoz® Lisdexamfetamine, a generic equivalent of Vyvanse*, approved for the same indications. It follows the recent launches of PrSandoz® Amoxicillin, PrSandoz® Desvenlafaxine and PrSandoz® Riociguat.",Product / Services Announcement,https://www.globenewswire.com/news-release/2024/06/05/2893803/0/en/Improving-access-for-patients-launch-of-Lisdexamfetamine-further-broadens-Sandoz-Canada-portfolio.html,https://ml.globenewswire.com/Resource/Download/af64466a-76d0-485f-b234-6b2c9d4b9339
Un meilleur accès pour les patients : Sandoz Canada élargit sa gamme de produits avec la lisdexamfétamine,https://www.globenewswire.com/news-release/2024/06/05/2893803/0/fr/Un-meilleur-acc%C3%A8s-pour-les-patients-Sandoz-Canada-%C3%A9largit-sa-gamme-de-produits-avec-la-lisdexamf%C3%A9tamine.html,2024-06-05 12:00:00,,"BOUCHERVILLE, Qu&#233;bec,  05 juin 2024  (GLOBE NEWSWIRE) -- Sandoz Canada a annoncé aujourd’hui le lancement de PrSandoz® Lisdexamfetamine, une version générique de VYVANSE* approuvée pour les mêmes indications. Ce lancement suit ceux, récents, de PrSandoz® Amoxicillin, PrSandoz® Desvenlafaxine et PrSandoz® Riociguat.",Product / Services Announcement,https://www.globenewswire.com/news-release/2024/06/05/2893803/0/fr/Un-meilleur-acc%C3%A8s-pour-les-patients-Sandoz-Canada-%C3%A9largit-sa-gamme-de-produits-avec-la-lisdexamf%C3%A9tamine.html,https://ml.globenewswire.com/Resource/Download/af64466a-76d0-485f-b234-6b2c9d4b9339
"Sandoz reçoit l’approbation de Santé Canada pour Jubbonti®, le premier et le seul médicament biosimilaire du denosumab pour l’ostéoporose",https://www.globenewswire.com/news-release/2024/02/20/2831829/0/fr/Sandoz-re%C3%A7oit-l-approbation-de-Sant%C3%A9-Canada-pour-Jubbonti-le-premier-et-le-seul-m%C3%A9dicament-biosimilaire-du-denosumab-pour-l-ost%C3%A9oporose.html,2024-02-20 13:10:00,,"BOUCHERVILLE, Queb&#233;c,  20 f&#233;vr. 2024  (GLOBE NEWSWIRE) -- Sandoz Canada a le plaisir d’annoncer que Santé Canada a autorisé la mise en marché de Jubbonti® (injection sous-cutanée de denosumab, médicament biologique de référence : Prolia*).",Product / Services Announcement,https://www.globenewswire.com/news-release/2024/02/20/2831829/0/fr/Sandoz-re%C3%A7oit-l-approbation-de-Sant%C3%A9-Canada-pour-Jubbonti-le-premier-et-le-seul-m%C3%A9dicament-biosimilaire-du-denosumab-pour-l-ost%C3%A9oporose.html,https://ml.globenewswire.com/Resource/Download/47f59a1e-3899-4bee-bf42-b6d1680a27a4
