title,link,published_date,author,summary,categories,guid
STMicroelectronics  Announces Timing for Second Quarter 2025 Earnings Release and Conference Call,https://www.globenewswire.com/news-release/2025/07/03/3109863/0/en/STMicroelectronics-Announces-Timing-for-Second-Quarter-2025-Earnings-Release-and-Conference-Call.html,2025-07-03 13:00:00,,STMicroelectronics Announces Timing for Second Quarter 2025 Earnings Release and Conference Call,"Paris:STMPA, NYSE:STM, NL0000226223, US8610121027, Company Announcement, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/03/3109863/0/en/STMicroelectronics-Announces-Timing-for-Second-Quarter-2025-Earnings-Release-and-Conference-Call.html
STMicroelectronics annonce la date de publication et l’heure de la conférence téléphonique de ses résultats financiers du deuxième trimestre 2025,https://www.globenewswire.com/news-release/2025/07/03/3109863/0/fr/STMicroelectronics-annonce-la-date-de-publication-et-l-heure-de-la-conf%C3%A9rence-t%C3%A9l%C3%A9phonique-de-ses-r%C3%A9sultats-financiers-du-deuxi%C3%A8me-trimestre-2025.html,2025-07-03 13:00:00,,STMicroelectronics annonce la date de publication et l’heure de la conférence téléphonique de ses résultats financiers du deuxième trimestre 2025,"Paris:STMPA, NYSE:STM, NL0000226223, US8610121027, Company Announcement, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/03/3109863/0/fr/STMicroelectronics-annonce-la-date-de-publication-et-l-heure-de-la-conf%C3%A9rence-t%C3%A9l%C3%A9phonique-de-ses-r%C3%A9sultats-financiers-du-deuxi%C3%A8me-trimestre-2025.html
"AONDevices and H&S HighTech Forge Strategic Alliance to Expand Super-Low-Power, Always-On Edge AI Globally",https://www.globenewswire.com/news-release/2025/07/02/3109265/0/en/AONDevices-and-H-S-HighTech-Forge-Strategic-Alliance-to-Expand-Super-Low-Power-Always-On-Edge-AI-Globally.html,2025-07-02 14:00:00,,"AONDevices and H&amp;S HighTech have formed a strategic alliance to expand super-low-power, always-on edge AI globally.",Partnerships,https://www.globenewswire.com/news-release/2025/07/02/3109265/0/en/AONDevices-and-H-S-HighTech-Forge-Strategic-Alliance-to-Expand-Super-Low-Power-Always-On-Edge-AI-Globally.html
ASM announces details of the Q2 2025 conference call and webcast,https://www.globenewswire.com/news-release/2025/07/02/3109238/0/en/ASM-announces-details-of-the-Q2-2025-conference-call-and-webcast.html,2025-07-02 13:30:00,,"Almere, the NetherlandsJuly 2, 2025","Amsterdam:ASM, OTC Markets:ASMIY, NL0000334118, USN070451026, 99, Company Announcement",https://www.globenewswire.com/news-release/2025/07/02/3109238/0/en/ASM-announces-details-of-the-Q2-2025-conference-call-and-webcast.html
"Combined General Meeting  of July 22, 2025 Conditions for Obtaining the Preparatory Documents",https://www.globenewswire.com/news-release/2025/07/01/3108638/0/en/Combined-General-Meeting-of-July-22-2025-Conditions-for-Obtaining-the-Preparatory-Documents.html,2025-07-01 16:00:00,,"COMBINED GENERAL MEETINGOF JULY 22, 2025","Paris:SOI, FR0013227113, Annual Meetings & Shareholder Rights, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/01/3108638/0/en/Combined-General-Meeting-of-July-22-2025-Conditions-for-Obtaining-the-Preparatory-Documents.html
ASSEMBLEE GENERALE MIXTE  DU 22 JUILLET 2025 MODALITÉS DE MISE À DISPOSITION DES DOCUMENTS PRÉPARATOIRES,https://www.globenewswire.com/news-release/2025/07/01/3108638/0/fr/ASSEMBLEE-GENERALE-MIXTE-DU-22-JUILLET-2025-MODALIT%C3%89S-DE-MISE-%C3%80-DISPOSITION-DES-DOCUMENTS-PR%C3%89PARATOIRES.html,2025-07-01 16:00:00,,ASSEMBLEE GENERALE MIXTEDU 22 JUILLET 2025,"Paris:SOI, FR0013227113, Annual Meetings & Shareholder Rights, European Regulatory News",https://www.globenewswire.com/news-release/2025/07/01/3108638/0/fr/ASSEMBLEE-GENERALE-MIXTE-DU-22-JUILLET-2025-MODALIT%C3%89S-DE-MISE-%C3%80-DISPOSITION-DES-DOCUMENTS-PR%C3%89PARATOIRES.html
"ASM share buyback update June 23 – 27, 2025",https://www.globenewswire.com/news-release/2025/06/30/3107689/0/en/ASM-share-buyback-update-June-23-27-2025.html,2025-06-30 15:45:00,,"Almere, The NetherlandsJune 30, 2025, 5:45 p.m. CET","Amsterdam:ASM, OTC Markets:ASMIY, NL0000334118, USN070451026, 8815, Other News, European Regulatory News",https://www.globenewswire.com/news-release/2025/06/30/3107689/0/en/ASM-share-buyback-update-June-23-27-2025.html
ASML reports transactions under its current share buyback program,https://www.globenewswire.com/news-release/2025/06/30/3107400/0/en/ASML-reports-transactions-under-its-current-share-buyback-program.html,2025-06-30 12:00:00,,ASML reports transactions under its current share buyback program,"Amsterdam:ASML, Nasdaq:ASML, NL0010273215, USN070592100, Other News",https://www.globenewswire.com/news-release/2025/06/30/3107400/0/en/ASML-reports-transactions-under-its-current-share-buyback-program.html
POET Technologies Provides Results of 2025 Annual General and Special Meeting,https://www.globenewswire.com/news-release/2025/06/30/3107352/0/en/POET-Technologies-Provides-Results-of-2025-Annual-General-and-Special-Meeting.html,2025-06-30 11:00:00,,"TORONTO, June  30, 2025  (GLOBE NEWSWIRE) -- POET Technologies Inc. (“POET” or the “Company”) (TSX Venture: PTK; NASDAQ: POET), the designer and developer of Photonic Integrated Circuits (PICs), light sources and optical modules for the AI and data center markets today reported the voting results of its Annual General and Special Meeting (the ”Meeting” or “AGSM”), which was held virtually on Friday, June 27, 2025.","TSX-V:PTK, Nasdaq:POET, CA73044W1041, Annual Meetings & Shareholder Rights",https://www.globenewswire.com/news-release/2025/06/30/3107352/0/en/POET-Technologies-Provides-Results-of-2025-Annual-General-and-Special-Meeting.html
"Micron Elevates PC Performance, Unveils Adaptive Write Technology and G9 QLC NAND",https://www.globenewswire.com/news-release/2025/06/26/3105916/14450/en/Micron-Elevates-PC-Performance-Unveils-Adaptive-Write-Technology-and-G9-QLC-NAND.html,2025-06-26 13:01:00,,Micron 2600 SSD delivers better user experiences than TLC value drives with QLC economics Micron 2600 SSD delivers better user experiences than TLC value drives with QLC economics,"Nasdaq:MU, US5951121038, Product / Services Announcement",https://www.globenewswire.com/news-release/2025/06/26/3105916/14450/en/Micron-Elevates-PC-Performance-Unveils-Adaptive-Write-Technology-and-G9-QLC-NAND.html
