company,title,tickers,companies
Nasdaq Riga,Nasdaq Welcomes OC VISION to the Nasdaq Baltic First North Market,['OC'],['OC VISION']
Nasdaq Vilnius,CORRECTION: Nasdaq Baltic investor calendar - week 27/2025,[],[]
Nasdaq Vilnius,Nasdaq Welcomes OC VISION to the Nasdaq Baltic First North Market,['OCV'],['OC VISION']
Nordecon,Construction contract (Defence-related facilities),[],[]
VOW GREEN METALS AS,Received application for delisting,[],[]
VOW GREEN METALS AS,Mottatt søknad om strykning,[],[]
NEKKAR,Transactions carried out under the buy-back program,[],[]
Haugesund kommune,Årsmelding 2024,[],[]
TELEPERFORMANCE,Teleperformance SE : Déclaration des transactions sur actions propres réalisées du 23 au 27 juin 2025 (inclus),['TEP'],['Teleperformance SE']
Entra ASA,"Entra ASA signs new lease contract at Biskop Gunnerus gate 14, Oslo",['ENTRA'],['Entra ASA']
HEXAOM,HEXAOM CONFIRME SON ÉLIGIBILITÉ PEA-PME,['HEXAOM'],['HEXAOM']
NORWEGIAN BLOCK EXCHANGE AS,Norwegian Block Exchange AS – Mandatory notification of trade,[],['Norwegian Block Exchange AS']
JENSEN-GROUP,Inkoop eigen aandelen - wekelijkse update,[],[]
TromsÃ¸ Kommune,Årsregnskap 2024 Tromsø kommune,[],[]
TromsÃ¸ Kommune,Annual accounts 2024 Tromsø kommune,[],[]
Bonheur ASA,Invitation to presentation of 2nd quarter 2025 results,[],[]
Moreld ASA,Moreld ASA: Ocean Installer awarded significant contract from Vår Energi,['VRE'],['Vår Energi']
Instabank ASA,Instabank ASA – Intra-group merger with Instafin Oy,['INSTA'],"['Instabank ASA', 'Instafin Oy']"
ANDFJORD SALMON GROUP AS,Andfjord Salmon Group AS: Primary insider notification,['AS'],['Andfjord Salmon Group AS']
DNB Bank ASA,DNB Bank ASA - status of share buy-back programme after week 26 2025,['DNB'],['DNB Bank ASA']
DNB Bank ASA,DNB Bank ASA - status for tilbakekjøpsprogram etter uke 26 2025,['DNB'],['DNB Bank ASA']
VÅR ENERGI ASA,Oil discovery close to the Johan Castberg field in the Barents Sea,[],[]
BIOFISH HOLDING AS,"BIOFISH HOLDING AS Confirmation that there will be no increase of the offer price, update on acceptances and extension of the acceptance period",['BIOFISH'],['BIOFISH HOLDING AS']
Solis Bond Company 21/24 FRN EUR FLOOR C,OSLO BØRS - STATUS COMPANIES PLACED IN RECOVERY BOX AND PENALTY BENCH,[],[]
HYNION AS,OSLO BØRS - STATUS COMPANIES PLACED IN RECOVERY BOX AND PENALTY BENCH,[],[]
-,OSLO BØRS - STATUS COMPANIES PLACED IN RECOVERY BOX AND PENALTY BENCH,[],[]
BARRAMUNDI GROUP LTD.,OSLO BØRS - STATUS COMPANIES PLACED IN RECOVERY BOX AND PENALTY BENCH,[],[]
Seacrest Petroleo Bermuda Limi,OSLO BØRS - STATUS COMPANIES PLACED IN RECOVERY BOX AND PENALTY BENCH,[],[]
EAM SOLAR AS,OSLO BØRS - STATUS COMPANIES PLACED IN RECOVERY BOX AND PENALTY BENCH,[],[]
ALTERNUS ENERGY GROUP PLC,OSLO BØRS - STATUS COMPANIES PLACED IN RECOVERY BOX AND PENALTY BENCH,[],[]
Orphazyme,Aktietilbagekøb 23-27 juni 2025,[],[]
Instabank ASA,Instabank ASA – Intra-group merger with Instafin Oy,[],['Instabank ASA']
VOW GREEN METALS AS,OSLO BØRS – TRADING SUSPENSION,[],[]
Realkredit Danmark A/S,"Prepayments, Realkredit Danmark A/S",[],['Realkredit Danmark A/S']
Evolution AB,Acquisitions of own shares in Evolution AB (publ),[],['Evolution AB']
Strategic Partners A/S,Aktietilbagekøb 23-27 juni 2025,[],[]
Inderes Oyj,"Redefining the Role of Commissioned Research, Inderes' study on Swedish retail investors",[],[]
Evli Oyj,"INVITATION: Evli Plc to publish Half-year Financial Report on July 14, 2025",['EVLI'],['Evli Plc']
Devyser Diagnostics AB,"Devyser launches Genomic Blood Typing assay: All blood groups, one simple test",['DEVY'],['Devyser']
Per Aarsleff Holding A/S,Transactions under the current share buyback programme,[],[]
Essity AB,"Buyback of Class B shares in Essity during week 26, 2025",['ESSITY'],['Essity AB']
Avanza Bank AB,Jonas Svärling appointed new CFO and member of Group Management at Avanza,['AVAN'],['Avanza']
Genova Property Group AB,Increased number of shares and votes in Genova Property Group AB (publ),['GENOVA'],['Genova Property Group AB']
Vicore Pharma Holding AB,Increase in number of shares and votes in Vicore Pharma,['VICO'],['Vicore Pharma']
Kalmar Oyj B,Kalmar and AGL collaborate on STS crane repair and refurbishment project in Abidjan,['AGL'],['AGL Energy Limited']
